행정구역,동읍면,성별,총인구,한국인,외국인
달성군,다사읍,남자,"45,703","45,191",512
달성군,다사읍,여자,"45,775","45,346",429
달성군,유가읍,계,"31,558","31,134",424
달성군,유가읍,남자,"16,082","15,818",264
달성군,유가읍,여자,"15,476","15,316",160
달성군,옥포읍,계,"23,327","23,088",239
달성군,옥포읍,남자,"11,768","11,619",149
달성군,옥포읍,여자,"11,559","11,469",90
달성군,현풍읍,계,"22,442","21,759",683
달성군,현풍읍,남자,"11,914","11,512",402
달성군,현풍읍,여자,"10,528","10,247",281
달성군,가창면,계,"7,077","7,044",33
달성군,가창면,남자,"3,513","3,496",17
달성군,가창면,여자,"3,564","3,548",16
달성군,하빈면,계,"3,435","3,289",146
달성군,하빈면,남자,"1,921","1,793",128
달성군,하빈면,여자,"1,514","1,496",18
달성군,구지면,계,"20,794","19,021","1,773"
달성군,구지면,남자,"11,375","10,009","1,366"
달성군,구지면,여자,"9,419","9,012",407
군위군,소계,계,"23,045","22,463",582
군위군,소계,남자,"12,054","11,613",441
군위군,소계,여자,"10,991","10,850",141
군위군,군위읍,계,"8,112","7,803",309
군위군,군위읍,남자,"4,278","4,045",233
군위군,군위읍,여자,"3,834","3,758",76
군위군,소보면,계,"2,303","2,264",39
군위군,소보면,남자,"1,217","1,195",22
군위군,소보면,여자,"1,086","1,069",17
군위군,효령면,계,"3,821","3,657",164
군위군,효령면,남자,"2,046","1,905",141
군위군,효령면,여자,"1,775","1,752",23
군위군,부계면,계,"2,082","2,076",6
군위군,부계면,남자,"1,082","1,078",4
군위군,부계면,여자,"1,000",998,2
군위군,우보면,계,"1,931","1,917",14
군위군,우보면,남자,986,974,12
군위군,우보면,여자,945,943,2
군위군,의흥면,계,"2,296","2,257",39
군위군,의흥면,남자,"1,134","1,109",25
군위군,의흥면,여자,"1,162","1,148",14
군위군,산성면,계,"1,199","1,194",5
군위군,산성면,남자,612,611,1
군위군,산성면,여자,587,583,4
군위군,삼국유사면,계,"1,301","1,295",6
군위군,삼국유사면,남자,699,696,3
군위군,삼국유사면,여자,602,599,3
