행정구,읍면동,인구(명),면적(㎢),인구밀도,어린이수,고령자수,어린이_인구밀도,어린이 인구밀도_norm,고령자_인구밀도,고령자 인구밀도_norm
수성구,범물2동,15712,2.33,6743.35,1690,3464,725.32,0.11315764425379994,1486.7,0.1866342682553153
수성구,고산1동,31451,8.79,3578.04,3977,4899,452.45,0.07057938698669146,557.34,0.06944516249434143
수성구,고산2동,26004,24.47,1062.69,3084,4884,126.03,0.019645261809392592,199.59,0.024334115552372318
수성구,고산3동,29738,5.01,5935.73,2996,5519,598.0,0.09329080760906709,1101.6,0.13807448019842555
달서구,성당동,20585,1.99,10344.22,1888,5395,948.74,0.14801979193810885,2711.06,0.3410218613618682
달서구,두류1·2동,15690,1.33,11796.99,849,3728,638.35,0.0995869657822918,2803.01,0.35261644072263426
달서구,두류3동,8980,1.12,8017.86,616,2304,550.0,0.08580095402010089,2057.14,0.2585647940906105
달서구,본리동,22586,1.09,20721.1,3050,3398,2798.17,0.43660229033481207,3117.43,0.39226372340465776
달서구,감삼동,30766,1.18,26072.88,3899,4561,3304.24,0.5155687529549814,3865.25,0.4865612583428642
달서구,죽전동,14436,0.74,19508.11,1055,2888,1425.68,0.22244084966147423,3902.7,0.4912835747872436
달서구,장기동,15569,3.11,5006.11,1502,2916,482.96,0.0753401251741781,937.62,0.11739716509697458
달서구,용산1동,28582,1.29,22156.59,2500,4622,1937.98,0.3023794328620447,3582.95,0.45096419740165417
달서구,용산2동,25397,1.32,19240.15,2042,4312,1546.97,0.24136677344909319,3266.67,0.4110823751045026
달서구,이곡1동,20195,1.82,11096.15,1558,3319,856.04,0.13355501219441787,1823.63,0.22911998466665745
달서구,이곡2동,14468,2.04,7092.16,972,3115,476.47,0.0743274345535033,1526.96,0.19171091605373228
달서구,신당동,28388,9.35,3036.15,1567,5251,167.59,0.026130226708505823,561.6,0.06998233387092505
달서구,월성1동,39795,2.18,18254.59,7469,3607,3426.15,0.5345914206847912,1654.59,0.20780462093480428
달서구,월성2동,13808,6.3,2191.75,697,5002,110.63,0.017242267116265933,793.97,0.0992833932081867
달서구,진천동,49917,5.11,9768.49,5515,9289,1079.26,0.16838595215543942,1817.81,0.22838610264512768
달서구,유천동,33200,1.25,26560.0,8011,2169,6408.8,1.0000000000000002,1735.2,0.21796926522269286
달서구,상인1동,32762,1.39,23569.78,3545,6377,2550.36,0.39793436079560973,4587.77,0.5776685501290599
달서구,상인2동,17235,0.9,19150.0,1296,3718,1440.0,0.22467532264884915,4131.11,0.5200852917181036
달서구,상인3동,9754,3.68,2650.54,343,3982,93.21,0.014524074417936952,1082.07,0.13561181423958094
달서구,도원동,31717,10.65,2978.12,2582,7517,242.44,0.037809717148799986,705.82,0.08816798080305861
달서구,송현1동,16363,2.46,6651.63,869,4646,353.25,0.05510035623616133,1888.62,0.23731500057373936
달서구,송현2동,18176,0.97,18738.14,1164,5293,1200.0,0.18722605470401815,5456.7,0.6872376403297173
달서구,본동,11713,1.1,10648.18,827,3040,751.82,0.11729266758937502,2763.64,0.34765201886909036
달성군,화원읍,46054,27.68,1663.8,4102,9903,148.19,0.023103077549631985,357.77,0.04428007056363904
달성군,논공읍,15355,43.89,349.85,1227,3376,27.96,0.004342554695436027,76.92,0.008865849644975115
달성군,다사읍,90046,36.68,2454.91,15562,11022,424.26,0.06618065838933819,300.49,0.03705725919023307
달성군,유가읍,31155,57.25,544.19,6798,2804,118.74,0.01850774029556835,48.98,0.005342711555363328
달성군,옥포읍,22817,48.93,466.32,2892,5219,59.1,0.009201597211277848,106.66,0.01261596155567857
달성군,현풍읍,21434,24.57,872.36,2724,3888,110.87,0.017279716384210768,158.24,0.019120022495627602
달성군,가창면,6937,111.33,62.31,480,2875,4.31,0.0006522414167058063,25.82,0.002422315057317195
달성군,하빈면,3236,38.2,84.71,102,1398,2.67,0.0003963380857494613,36.6,0.0037816360525217423
달성군,구지면,18912,39.84,474.7,3548,2497,89.06,0.01387651415972425,62.68,0.007070234527005471
군위군,군위읍,7800,84.07,92.78,547,2722,6.51,0.000995526372866757,32.38,0.003249508538629053
군위군,소보면,2245,101.35,22.15,41,1225,0.4,4.213042643793487e-05,12.09,0.0006910091886568572
군위군,효령면,3612,98.43,36.7,101,1858,1.03,0.0001404347547931162,18.88,0.0015472048804415395
군위군,부계면,2048,64.81,31.6,62,1011,0.96,0.0001295120516425405,15.6,0.0011336081397856105
군위군,우보면,1962,59.83,32.79,30,1087,0.5,5.7734288081614444e-05,18.17,0.001457676317677604
군위군,의흥면,2236,54.26,41.21,51,1287,0.94,0.0001263912793138046,23.72,0.002157512266043581
군위군,산성면,1197,36.99,32.36,32,682,0.87,0.00011546857616322889,18.44,0.001491722390841354
군위군,삼국유사면,1294,114.6,11.29,15,757,0.13,0.0,6.61,0.0
